2025-08-23T08:15:36Z,docker.io,1024,6588,974,154,Timestamp,Registry,SizeMB,PushTime,ColdPullTime,WarmPullTime
,,,,,,2025-08-23T08:38:43Z,docker.io,512.0,5557.0,844.0,197.0
,,,,,,2025-08-23T08:38:44Z,docker.io,8.0,3558.0,918.0,121.0
,,,,,,2025-08-23T08:38:45Z,ghcr.io,4096.0,22011.0,489.0,342.0
,,,,,,2025-08-23T08:38:46Z,docker.io,4096.0,19910.0,918.0,108.0
,,,,,,2025-08-23T08:38:47Z,docker.io,256.0,4202.0,976.0,122.0
,,,,,,2025-08-23T08:38:47Z,docker.io,3072.0,15773.0,1426.0,311.0
,,,,,,2025-08-23T08:38:52Z,docker.io,4096.0,22941.0,1580.0,285.0
,,,,,,2025-08-23T08:38:53Z,docker.io,8.0,3160.0,840.0,186.0
,,,,,,2025-08-23T08:38:54Z,ghcr.io,6144.0,30923.0,419.0,225.0
,,,,,,2025-08-23T08:38:55Z,docker.io,4096.0,22326.0,822.0,173.0
,,,,,,2025-08-23T08:38:59Z,ghcr.io,6144.0,29454.0,662.0,373.0
,,,,,,2025-08-23T08:39:05Z,ghcr.io,6144.0,29656.0,319.0,142.0
,,,,,,2025-08-23T08:39:07Z,docker.io,256.0,7320.0,2778.0,728.0
,,,,,,2025-08-23T08:39:12Z,ghcr.io,5120.0,22418.0,242.0,185.0
,,,,,,2025-08-23T08:39:15Z,docker.io,1024.0,8253.0,902.0,179.0
,,,,,,2025-08-23T08:39:16Z,docker.io,256.0,5404.0,1049.0,153.0
,,,,,,2025-08-23T08:39:17Z,docker.io,2048.0,13837.0,2600.0,622.0
,,,,,,2025-08-23T08:39:17Z,ghcr.io,1024.0,9079.0,1144.0,488.0
,,,,,,2025-08-23T08:39:20Z,docker.io,5120.0,28492.0,1736.0,391.0
,,,,,,2025-08-23T08:39:22Z,docker.io,64.0,6450.0,2721.0,775.0
,,,,,,2025-08-23T08:39:23Z,docker.io,6144.0,26450.0,781.0,128.0
,,,,,,2025-08-23T08:39:27Z,docker.io,64.0,6542.0,2889.0,771.0
,,,,,,2025-08-23T08:39:28Z,docker.io,3072.0,19087.0,1802.0,533.0
,,,,,,2025-08-23T08:39:28Z,docker.io,5120.0,23997.0,892.0,117.0
,,,,,,2025-08-23T08:39:30Z,docker.io,2048.0,12501.0,1708.0,400.0
,,,,,,2025-08-23T08:39:31Z,docker.io,3072.0,15579.0,1141.0,155.0
,,,,,,2025-08-23T08:39:33Z,docker.io,512.0,8180.0,3009.0,741.0
,,,,,,2025-08-23T08:39:33Z,docker.io,6144.0,31375.0,953.0,161.0
,,,,,,2025-08-23T08:39:34Z,ghcr.io,4096.0,18632.0,651.0,351.0
,,,,,,2025-08-23T08:39:40Z,docker.io,5120.0,25454.0,2805.0,581.0
,,,,,,2025-08-23T08:39:43Z,docker.io,6144.0,32687.0,1724.0,390.0
2025-08-23T08:15:25Z,docker.io,64.0,2762.0,831.0,119.0,,,,,,
2025-08-23T08:15:28Z,docker.io,8.0,3045.0,972.0,119.0,,,,,,
2025-08-23T08:15:31Z,docker.io,256.0,3960.0,848.0,165.0,,,,,,
2025-08-23T08:15:31Z,docker.io,512.0,5078.0,893.0,128.0,,,,,,
2025-08-23T08:15:31Z,ghcr.io,512.0,5853.0,734.0,422.0,,,,,,
2025-08-23T08:15:34Z,ghcr.io,8.0,4457.0,924.0,479.0,,,,,,
2025-08-23T08:15:36Z,ghcr.io,256.0,5186.0,1091.0,627.0,,,,,,
2025-08-23T08:15:37Z,ghcr.io,64.0,4714.0,1155.0,662.0,,,,,,
2025-08-23T08:15:41Z,ghcr.io,1024.0,8294.0,1048.0,679.0,,,,,,
2025-08-23T08:17:20Z,ghcr.io,1024.0,6344.0,240.0,142.0,,,,,,
2025-08-23T08:17:20Z,ghcr.io,256.0,4302.0,459.0,271.0,,,,,,
2025-08-23T08:17:20Z,ghcr.io,64.0,3180.0,493.0,269.0,,,,,,
2025-08-23T08:17:20Z,ghcr.io,8.0,3219.0,508.0,266.0,,,,,,
2025-08-23T08:17:21Z,docker.io,256.0,3930.0,762.0,113.0,,,,,,
2025-08-23T08:17:21Z,docker.io,64.0,4360.0,1506.0,389.0,,,,,,
2025-08-23T08:17:25Z,ghcr.io,512.0,5297.0,466.0,264.0,,,,,,
2025-08-23T08:17:26Z,docker.io,1024.0,7345.0,1556.0,315.0,,,,,,
2025-08-23T08:17:30Z,docker.io,8.0,6046.0,2974.0,723.0,,,,,,
2025-08-23T08:17:31Z,docker.io,512.0,7926.0,2828.0,755.0,,,,,,
2025-08-23T08:19:29Z,ghcr.io,64.0,2737.0,258.0,147.0,,,,,,
2025-08-23T08:19:30Z,ghcr.io,256.0,3606.0,225.0,168.0,,,,,,
2025-08-23T08:19:32Z,docker.io,256.0,3752.0,908.0,175.0,,,,,,
2025-08-23T08:19:34Z,ghcr.io,8.0,3333.0,491.0,308.0,,,,,,
2025-08-23T08:19:35Z,ghcr.io,1024.0,6348.0,244.0,147.0,,,,,,
2025-08-23T08:19:36Z,docker.io,8.0,3691.0,1503.0,296.0,,,,,,
2025-08-23T08:19:36Z,ghcr.io,512.0,5086.0,403.0,204.0,,,,,,
2025-08-23T08:19:37Z,docker.io,512.0,5175.0,870.0,150.0,,,,,,
2025-08-23T08:19:40Z,docker.io,1024.0,7464.0,836.0,157.0,,,,,,
2025-08-23T08:19:41Z,docker.io,64.0,6146.0,2819.0,792.0,,,,,,
2025-08-23T08:22:03Z,docker.io,64.0,2820.0,947.0,121.0,,,,,,
2025-08-23T08:22:03Z,ghcr.io,64.0,3404.0,487.0,282.0,,,,,,
2025-08-23T08:22:04Z,docker.io,512.0,4804.0,784.0,185.0,,,,,,
2025-08-23T08:22:07Z,docker.io,256.0,4597.0,1199.0,286.0,,,,,,
2025-08-23T08:22:08Z,docker.io,8.0,4460.0,1613.0,330.0,,,,,,
2025-08-23T08:22:09Z,ghcr.io,256.0,4275.0,529.0,264.0,,,,,,
2025-08-23T08:22:09Z,ghcr.io,8.0,4227.0,892.0,510.0,,,,,,
2025-08-23T08:22:12Z,ghcr.io,1024.0,7019.0,913.0,308.0,,,,,,
2025-08-23T08:22:16Z,ghcr.io,512.0,4936.0,528.0,280.0,,,,,,
2025-08-23T08:22:20Z,docker.io,1024.0,9775.0,2626.0,598.0,,,,,,
